No,大分類,機能・タスク,クライアントの意図（なぜ必要か）,優先度,ステータス,依存・備考
47,運営ツール,エスカレーション通知の本接続,緊急時に運営へ確実に通知,高,☐未着手,当面Spir＋外部窓口で代替
48,運営ツール,対応状況・SLA管理,緊急対応の抜け漏れ・遅延を防ぐ,中,☐未着手,運用設計
49,運営ツール,企業の新規登録UI,運営が画面から企業・企業番号を発行,低,☐未着手,今はSQLで代替
50,安全・法務,プライバシーポリシー＋利用同意,個人情報を扱う以上、公開前に必須,高,☐未着手,許可済で後回し可
51,安全・法務,LINE標準あいさつメッセージOFF,1通目を自作メッセージにするための設定,中,☐未着手,LINE設定作業
52,安全・法務,緊急の外部連携先の確定,本当の危機時に繋ぐ先（山本さん等）,高,☐未着手,クライアント確定待ち
53,安全・法務,データ保持・削除方針,どのデータをいつまで持つか。法務対応,中,☐未着手,方針決め
54,安全・法務,個人情報の最小化・暗号化方針,"""セキュリティはガチガチに""絶対要件",高,☐未着手,RLS実装済＋方針明文化
55,基盤・インフラ,Claude API（claude-opus-4-8）接続,AI相談の頭脳。品質重視モデル,高,✅完了,
56,基盤・インフラ,Supabase（DB・RLS）,相談ログ・社員・会社の安全な保存,高,✅完了,
57,基盤・インフラ,Vercel自動デプロイ,gitプッシュで自動反映。開発を速く,高,✅完了,
58,基盤・インフラ,LINEアクセストークン自動更新,トークン失効での停止を防ぐ,高,✅完了,
59,基盤・インフラ,REPORT_ACCESS_TOKEN（運営マスタ）設定,運営ダッシュボードを開くための鍵,高,☐未着手,Vercel環境変数に要設定
